stationId,name,owner,lon,lat,shd_id,timebase,area_c,area_n,StationTarget,action_monitor_1,units_monitor_1
310,Bezed,Ayyeka,35.11488911,33.07532098,1102,15,1,Western Galilee,None,TRUE,M³/sec
388,Kziv,None,35.105806,33.051035,2105,60,1,Western Galilee,None,TRUE,M³/sec
255,Gaaton,None,35.1309,32.9999,4110,15,1,Western Galilee,None,TRUE,M³/sec
389,Beit Haemek,None,35.09486,32.985385,5110,15,1,Western Galilee,None,TRUE,M³/sec
313,Yasaf,Ayyeka,35.09404443,32.95831325,6110,15,1,Western Galilee,None,TRUE,M³/sec
49,Hillazon-Yasur,None,35.1783,32.89481259,7105,15,2,Kishon,None,TRUE,M³/sec
330,HaShofet,None,35.11191123,32.63743339,8130,60,2,Kishon,None,TRUE,M³/sec
256,BeitLechem,None,35.1380976,32.67811755,8140,60,2,Kishon,None,TRUE,M³/sec
61,Qishon-Quarry,None,35.0993,32.7234,8146,15,2,Kishon,None,TRUE,M³/sec
68,Zipori-Tel Alil,None,35.15325667,32.76725037,8155,15,2,Kishon,None,TRUE,M³/sec
451,Kishon - Ram On,Ayyeka,35.2574,32.54175,8710,5,2,Kishon,None,TRUE,M³/sec
332,Eliezer,None,34.98176,32.8306,9130,60,3,Carmel,None,TRUE,M³/sec
315,Oren,Ayyeka,34.9851128,32.71476757,10114,5,3,Carmel,None,TRUE,M³/sec
385,Maharal,Ayyeka,34.95516,32.64321,11150,15,3,Carmel,None,TRUE,M³/sec
345,BatShlomo,None,34.98715,32.59109,12130,15,17,Taninim,None,TRUE,M³/sec
50,Dalyya-Tel Aviv-Haifa Road,None,34.9479,32.5952,12140,60,17,Taninim,None,TRUE,M³/sec
67,Taninim-Amiqam,None,35.00959821,32.55451852,13105,60,17,Taninim,None,TRUE,M³/sec
70,Ada-Givat Ada,None,34.9989,32.5189,13125,60,17,Taninim,None,TRUE,M³/sec
66,Barqan-Kefar Glickson,None,35.0007,32.5017,13135,60,17,Taninim,None,TRUE,M³/sec
344,AdaKvish,None,34.9578,32.50727,13146,60,17,Taninim,None,TRUE,M³/sec
341,HaderaAyyeka,Ayyeka,35.02183,32.40983,14109,15,4,Hadera - Alexander,None,TRUE,M³/sec
342,Haviva,Ayyeka,35.02183,32.38279,14114,5,4,Hadera - Alexander,None,TRUE,M³/sec
347,IronKvish,None,35.00971,32.45425,14115,60,4,Hadera - Alexander,None,TRUE,M³/sec
254,Hadera-GanShemuel,None,34.95324543,32.43982658,14120,15,4,Hadera - Alexander,None,TRUE,M³/sec
390,Teenim,None,34.993544,32.304005,15110,60,4,Hadera - Alexander,None,TRUE,M³/sec
253,Shechem-Yad Hannah,None,35.014,32.325,15114,60,4,Hadera - Alexander,None,TRUE,M³/sec
53,Alexander-Elyashiv,None,34.90525261,32.3736206,15120,15,4,Hadera - Alexander,None,TRUE,M³/sec
441,Dror,Ayyeka,34.89338,32.25813,16740,5,4,Hadera - Alexander,None,TRUE,M³/sec
442,Yarkon Road 5,Seba,32.0986,34.94732,17103,10,5,Yarkon,None,TRUE,M³/sec
